att,beta.gene.mdd,beta.Z.att.x,pval.gene.mdd,p.adj.gene.mdd,beta.gene.sex.mdd,beta.Z.att.y,pval.gene.sex.mdd,p.adj.gene.sex.mdd,beta.gene.sex,beta.Z.att,pval.gene.sex,p.adj.gene.sex
ASF1B,-19.35195288,-3.717293154,2.0137e-4,0.026942,-12.52369564,-2.29357219,0.021815,0.34773,-55.99043862,-8.5291338,1.4745e-17,2.9162e-15
CISH,17.6441107,3.712505857,2.0522e-4,0.026942,13.18488342,2.7074043,0.0067812,0.26492,33.56874576,6.18846174,6.0754e-10,2.5844e-8
CYorf15B,-8.52341212,-3.72051538,1.9882e-4,0.026942,9.28374647,1.94927163,0.051263,0.41726,-222.30870868,-10.29932407,7.0958e-25,2.3492e-22
GPR171,22.05278505,3.714400815,2.0369e-4,0.026942,13.65733357,2.18373207,0.028982,0.36148,68.94544278,9.11784864,7.663e-20,1.8524e-17
IRAK1,-46.5225408,-3.713496465,2.0442e-4,0.026942,-31.02548244,-2.37360165,0.017616,0.32788,-124.91124179,-8.0946611,5.7424e-16,8.8334e-14
NR1H3,-21.45236787,-3.718416751,2.0048e-4,0.026942,-21.44563507,-3.66549412,2.4686e-4,0.14045,-3.88731353,-0.63477886,0.52557,0.66374
PTGER2,25.67419914,3.724718326,1.9553e-4,0.026942,16.90938532,2.35268782,0.018638,0.32871,67.42489452,8.2352495,1.7918e-16,3.1009e-14
TMEM116,24.68891501,3.719367364,1.9972e-4,0.026942,18.69791964,2.74434147,0.0060632,0.26024,45.52833362,6.04908202,1.4567e-9,5.5462e-8
CA5BP,22.30432679,3.709456401,2.077e-4,0.027021,1.43834046,0.17742587,0.85917,0.96614,219.89161087,15.09566142,1.7294e-51,9.5253e-48
PLXNA3,24.72062363,3.707436052,2.0937e-4,0.027021,21.70340031,3.2058045,0.0013469,0.18073,23.45801116,3.25493164,0.0011342,0.0055935
SEMA3C,20.88837162,3.704239873,2.1203e-4,0.027134,20.47132801,3.56867699,3.5879e-4,0.14609,6.67066477,1.12091018,0.26233,0.4074
ARRB1,-26.39339694,-3.676038646,2.3688e-4,0.027568,-21.42499526,-2.93136132,0.0033748,0.23361,-38.1443936,-4.70618,2.524e-6,3.3956e-5
CDV3,-39.81810557,-3.687181126,2.2675e-4,0.027568,-32.31568153,-2.94335706,0.0032467,0.23024,-58.53015307,-4.7362215,2.1774e-6,2.9766e-5
CYorf15A,-8.43007906,-3.67809229,2.3498e-4,0.027568,10.29769857,2.12275604,0.033774,0.36957,-230.30439839,-9.99762051,1.561e-23,4.5717e-21
EIF2AK4,-37.36062604,-3.674618093,2.3821e-4,0.027568,-25.63648802,-2.43657875,0.014827,0.31678,-93.93846454,-7.56590721,3.8517e-14,4.4437e-12
HAGHL,19.25872773,3.678805801,2.3433e-4,0.027568,17.13968496,3.22324094,0.0012675,0.18073,16.85225656,2.99144063,0.0027766,0.011591
KRTAP5.1,11.42630054,3.673866816,2.3891e-4,0.027568,8.59662719,2.69523647,0.0070339,0.2678,20.91109616,6.04959973,1.4521e-9,5.5422e-8
MDFIC,31.15674733,3.678473661,2.3463e-4,0.027568,22.57586333,2.59301691,0.0095138,0.29679,64.78741357,6.65035172,2.9239e-11,1.8325e-9
NCRNA00185,-8.37251519,-3.680081458,2.3316e-4,0.027568,10.51204918,2.15737391,0.030977,0.36449,-230.41851953,-9.68447986,3.5099e-22,9.7186e-20
SDC3,-16.24193754,-3.673818744,2.3895e-4,0.027568,-16.15292182,-3.59634274,3.2272e-4,0.14249,-3.55837212,-0.7589528,0.44788,0.59617
TTTY10,-8.40296711,-3.68198284,2.3143e-4,0.027568,7.16507806,1.63242674,0.10259,0.50623,-181.0169138,-11.62819637,2.9629e-31,1.3673e-28
VPS26B,-51.51519589,-3.685821972,2.2797e-4,0.027568,-38.30474015,-2.69000894,0.007145,0.26934,-102.18552814,-6.27004646,3.6094e-10,1.6167e-8
ZFX,28.04585602,3.688985546,2.2515e-4,0.027568,-10.79704448,-0.86678041,0.38606,0.77202,443.71049835,14.15462591,1.7487e-45,1.4016e-42
ZNF254,23.55266726,3.681460473,2.319e-4,0.027568,17.33779378,2.63933607,0.0083069,0.28621,47.37281662,6.41224575,1.4339e-10,7.1597e-9
CCNI,-30.80393019,-3.669484182,2.4304e-4,0.027829,-25.78945802,-3.02234944,0.0025082,0.20729,-37.9829613,-4.16533855,3.1089e-5,2.7982e-4
BCORP1,-8.32295836,-3.653001524,2.5919e-4,0.028812,10.1247788,2.12145851,0.033883,0.37016,-227.02225972,-10.1162014,4.6824e-24,1.4856e-21
C19orf63,-44.18188264,-3.65726873,2.5492e-4,0.028812,-44.12060621,-3.59331519,3.265e-4,0.14249,-8.63127411,-0.67261282,0.50119,0.64342
CCDC69,-32.92081773,-3.654480317,2.577e-4,0.028812,-26.50782574,-2.89201418,0.0038278,0.24391,-48.51129421,-4.80796826,1.5247e-6,2.2093e-5
TUBE1,33.01480787,3.655960693,2.5622e-4,0.028812,25.84647423,2.80432707,0.0050422,0.2567,52.98838904,5.29696575,1.1774e-7,2.5008e-6
POFUT1,-38.44928103,-3.643513769,2.6894e-4,0.029191,-31.29361807,-2.91754562,0.003528,0.23717,-54.63099531,-4.6078221,4.0691e-6,5.0046e-5
SRSF5,-34.16388324,-3.642247698,2.7027e-4,0.029191,-34.75436104,-3.63772041,2.7506e-4,0.14045,-3.53101745,-0.35572276,0.72205,0.81828
YWHAB,-34.95873334,-3.644320501,2.681e-4,0.029191,-31.89933345,-3.27815668,0.0010449,0.18073,-25.96657029,-2.52356968,0.011617,0.036863
ZNF292,35.0804096,3.646386799,2.6595e-4,0.029191,29.89872508,3.07163467,0.0021289,0.19847,38.68514498,3.68935668,2.2482e-4,0.0014514
MYBPC3,16.87119554,3.628150098,2.8546e-4,0.02993,16.42751673,3.4730973,5.1449e-4,0.16408,6.12310804,1.23375744,0.21729,0.35522
PDHB,-36.42593736,-3.626818416,2.8693e-4,0.02993,-32.26778477,-3.16476556,0.0015521,0.1853,-33.11882898,-3.0355538,0.0024009,0.010358
PKI55,-23.16525288,-3.630165962,2.8324e-4,0.02993,-20.71185427,-3.20671642,0.0013426,0.18073,-18.85018478,-2.82946301,0.0046626,0.017699
RNASEH1,-25.15573046,-3.630736347,2.8261e-4,0.02993,-24.39477112,-3.47239785,5.1583e-4,0.16408,-9.10634667,-1.24096223,0.21462,0.35224
TPM3,-44.48375734,-3.631255326,2.8205e-4,0.02993,-38.88971419,-3.13979379,0.0016907,0.18589,-43.26491975,-3.24211058,0.0011865,0.0058081
MTMR14,-41.74406419,-3.624950963,2.8902e-4,0.029942,-31.65017248,-2.68700095,0.0072097,0.27043,-76.94831351,-5.80237656,6.5382e-9,2.053e-7
HMGB3,-14.73371024,-3.622260363,2.9204e-4,0.030051,-14.27433266,-3.44260568,5.7614e-4,0.16408,-6.07499411,-1.48381784,0.13786,0.25383
RCN1,-24.02266545,-3.620034752,2.9456e-4,0.030107,-21.11095564,-3.14215361,0.0016771,0.18589,-22.39446108,-3.09770944,0.0019502,0.0087097
FAM168B,-43.80767098,-3.609733274,3.0651e-4,0.031119,-34.54680921,-2.8072912,0.004996,0.2567,-71.36568283,-5.14799889,2.6328e-7,4.9257e-6
RAB7A,-41.29342333,-3.601927342,3.1587e-4,0.031857,-37.62331977,-3.22916875,0.0012415,0.18073,-31.25836472,-2.53856653,0.011131,0.035664
GLE1,-41.84853256,-3.594330662,3.2523e-4,0.032372,-37.21224676,-3.15700441,0.001594,0.1853,-37.27194516,-2.92399048,0.0034558,0.013886
KIAA0895L,22.07303208,3.595455091,3.2382e-4,0.032372,17.20628028,2.74715857,0.0060114,0.26024,36.76696256,5.31011094,1.0956e-7,2.3523e-6
C12orf53,13.03271494,3.590003767,3.3067e-4,0.0327,12.67154289,3.43011038,6.0334e-4,0.16408,4.88935848,1.27017286,0.20402,0.33946
DGKE,29.33174017,3.582438055,3.404e-4,0.033306,24.71867861,2.97568001,0.0029234,0.224,34.44753041,3.86805801,1.0971e-4,8.0984e-4
